Headline,Publication,Date
"Perfect Weekend: Belfast's blast from the past;Northern Ireland's capital has shed its bloody history and is now a cool city, but tourists can still glimpse bits of its past while chilling out at the hip restaurants and pubs","The Straits Times (Singapore), LIFE, 1759 words",6/11/17
A shootout in Alexandria,"Fausta's Blog, 207 words",6/14/17
"ALL IN for June 14, 2017","MSNBC, ALL IN with CHRIS HAYES 8:00 PM EST, NEWS, 9110 words",6/14/17
Senator Bernie Sanders Apologizes For His Campaign Worker Shooting Members of Congress.,"The Conservative Treehouse, 153 words",6/14/17
Trump Shuns Politics Following Gun Attack on Congressmen,"Voice of America News, VOA ENGLISH SERVICE, 716 words",6/14/17
Bergen: Domestic abuse can portend terror violence,"CNN.com, OPINIONS, 579 words",6/15/17
Trump Shuns Politics Following Gun Attack on Congressmen,"Newstex BlogsVoice of America, 708 words",6/15/17
Tucker Carlson and Mark Steyn Discuss Political Violence,"The Conservative Treehouse, 58 words",6/15/17
‘The Daily’: Political Violence in a Time of Partisanship;The Daily,"The New York Times , PODCASTS; the-daily, 503 words",6/15/17
"Soufan Group: In Wake Of Scalise Shooting, Extremists On Right, Left Seeking To Legitimize Violence","The White House Bulletin, IN THE WHITE HOUSE AND AROUND TOWN, 228 words",6/16/17
The blood of Steve Scalise is on your hands!' 'Right-wing' protester runs on stage during Julius Caesar play which depicts the killing of Trump,"MailOnline, NEWS; Version:2, 590 words",6/17/17
The blood of Steve Scalise is on your hands!' 'Right-wing' protester runs on stage during Julius Caesar play which depicts the killing of Trump,"MailOnline, NEWS; Version:5, 590 words",6/17/17
The blood of Steve Scalise is on your hands!' Protester runs on stage during Julius Caesar play which depicts Trump's assassination,"MailOnline, NEWS; Version:6, 590 words",6/17/17
"Left-wing extremists 'now on the radar screen,' CSUSB professor says","US Official News, 249 words",6/17/17
Political Violence: 'As American as Cherry Pie',"Creators Syndicate, POLITICAL VIOLENCE: 'AS AMERICAN AS CHERRY PIE', 813 words",6/18/17
"Interview with Jay Sekulow; Interview with Sen. Marco Rubio of Florida; Interview with Sen. Angus King of Maine; Will Democrats Win Georgia Sixth Special Election?; Senate Health Bill Shrouded in Secrecy; When Political Division Turns Violent, NBC","NBC News, MEET THE PRESS 10:30 AM EST, NEWS; Domestic, 9026 words",6/18/17
On Political Rhetoric And Political Violence,"NPR Weekend Edition Sunday, Weekend Edition Sunday 12:00 AM EST, 1335 words",6/18/17
OPINION: US no stranger to political violence,"The Lima News (Ohio), COMMENTARY, 854 words",6/18/17
Thomas Lucente: US no stranger to political violence,"The Lima News (Ohio), STATE AND REGIONAL NEWS, 856 words",6/18/17
"America is angry, and the safety catch is off;The Virginia shootings point to an upsurge in political violence","thetimes.co.uk, COMMENT; Version:1, 1100 words",6/18/17
A Few More Words About Political Violence in the Age of Trump,"ColoradoPols.com, 1078 words",6/19/17
Three-Quarters of Americans Say Tone of Political Debate Spurs Violence,"Pensito Review, 77 words",6/20/17
"Political Violence, Who's to Blame","AmmoLand.com, 473 words",6/22/17
Why Does the Far Right Hold a Near-Monopoly on Political Violence?,"The Nation Blogs, 2444 words",6/23/17
Salon: 'Sociopathic' GOP Should Learn From 'Bigot' Scalise's 'Baptism By Fire',"Newsbusters.org, 1749 words",6/25/17
N. Ireland's DUP: A controversial partner for British PM May,"Digital Journal, 750 words",6/26/17
Left wing in US has a history of violence,"Prairie Pundit, 111 words",7/1/17
History Shows That Most American Political Violence is Perpetrated by Leftists,"Publius' Forum, 4260 words",7/1/17
"Trump, GOP, NRA, Alt-Right, Militias All Yearn For Political Violence","FreakOutNation, 830 words",7/2/17
Ascendancy of an activist,"The Columbian (Vancouver, Washington), METRO; Pg. A1, 2031 words",7/2/17
Yingluck faces indictment over payments to protest victims,"The Nation (Thailand), 430 words",7/27/17
"Why republican 'armed struggle' mindset still poses gravest threat to the peace process;Battle to stamp out political violence, north and south, still a work in progress, writes Andrew Lynch","Belfast Telegraph Online, NEWS ANALYSIS; Version:1, 922 words",8/8/17
"Why republican 'armed struggle' mindset still poses gravest threat to the peace process;Battle to stamp out political violence, north and south, still a work in progress, writes Andrew Lynch","Belfast Telegraph, NEWS; Pg. 20, 923 words",8/8/17
"Another politicized, left-wing shooter","GayPatriot, 295 words",8/9/17
A Note About Political Violence,"The Conservative Treehouse, 617 words",8/12/17
Calls For Dem Senator To Resign After Trump Assassination Post - Secret Service Now Involved,"Right Wing News, 1266 words",8/19/17
"Political violence from Virginia to Barcelona;Trump bungled Charlottesville, but let's not forget the other extremists","thetimes.co.uk, COMMENT; Version:1, 1157 words",8/20/17
Quotes On Fascism,"GayPatriot, 216 words",8/21/17
Judge Dismisses Palin's Defamation Suit Against NYT For Political Violence Op-Ed,"Talking Points Memo, 292 words",8/29/17
"Two social media posts hoping for political violence, two different reactions","St. Louis Post-Dispatch (Missouri), NEWS; Pg. A1, 1043 words",9/1/17
New Hampshire Democrats And Dartmouth Professors,"Granite Grok, 779 words",9/4/17
"Momentum builds for session on discipline, reversing cuts","St. Louis Post-Dispatch (Missouri), NEWS; Pg. A1, 940 words",9/8/17
"Under Gerry Adams, Sinn Fein amounts to a malignant growth on the whole island;Is the party being damaged by revelations of a vicious bullying culture","Belfast Telegraph Online, RUTH DUDLEY EDWARDS; Version:1, 691 words",9/11/17
"Under Gerry Adams, Sinn Fein amounts to a malignant growth on the whole island;Is the party being damaged by revelations of a vicious bullying culture, asks Ruth Dudley Edwards","Belfast Telegraph, NEWS; Pg. 20, 682 words",9/11/17
The Progressive Left Continues to Normalize Political Violence,"GayPatriot, 145 words",9/20/17
Washington: SUBMITTED RESOLUTIONS,"Impact News Service, 1623 words",10/4/17
Washington: SUBMITTED RESOLUTIONS,"US Official News, 1623 words",10/4/17
Terror and loss of life not seen since The Troubles,"The Herald (Glasgow); Pg. 3, 1236 words",12/28/17
POLITICAL VIOLENCE: What To Do About The Criminals?,"Newstex BlogsColorado Peak Politics, 192 words",2/16/18
CAN WE PLEASE STOP THIS? How Democrats are Terrorizing our Children,"Newstex BlogsColorado Peak Politics, 358 words",2/21/18
Gentiloni appeals agst violence during election campaign;'Risk of copycat effect',"ANSA English Media Service, 104 words",2/22/18
Assembly rejects bills linked to deadly rally;'We're going to have to make do:' Virginia General Assembly rejects bills tied to violent Charlottesville rally,"Richmond Times Dispatch (Virginia), MAIN; Pg. 1A, 1219 words",3/8/18
"Frustrated, angry Democrats threaten political violence","Prairie Pundit, 364 words",3/18/18
Unhinged John Brennan and Complicit Samantha Power React To Andrew McCabe Firing,"The Conservative Treehouse, 812 words",3/18/18
Jagmeet Singh's troubling dodge,"The Toronto Star, EDITORIAL; Pg. A16, 657 words",3/18/18
